,clu
Bradi4g36947,0
Bradi1g58240,0
Bradi1g57200,0
Bradi5g13840,0
Bradi2g09915,0
Bradi2g10090,0
Bradi4g36945,0
Bradi3g53790,0
Bradi2g10640,0
Bradi3g53730,0
Bradi1g58600,0
Bradi1g18270,0
Bradi3g53113,0
Bradi1g57060,0
Bradi2g12427,0
Bradi1g30750,0
Bradi2g12960,0
Bradi2g13060,0
Bradi2g13085,0
Bradi2g13851,0
Bradi2g13860,0
Bradi3g53440,0
Bradi1g30850,0
Bradi2g09145,0
Bradi5g13602,0
Bradi4g24590,0
Bradi3g57470,0
Bradi2g05750,0
Bradi3g57027,0
Bradi3g57000,0
Bradi3g56995,0
Bradi3g56990,0
Bradi1g60115,0
Bradi1g19785,0
Bradi1g59070,0
Bradi1g19730,0
Bradi2g07290,0
Bradi2g07293,0
Bradi1g19470,0
Bradi3g56490,0
Bradi3g56260,0
Bradi2g08420,0
Bradi4g24920,0
Bradi2g08870,0
Bradi1g30240,0
Bradi1g30113,0
Bradi1g20385,0
Bradi3g51920,0
Bradi1g17430,0
Bradi3g47027,0
Bradi4g28695,0
Bradi2g22290,0
Bradi3g46880,0
Bradi2g22410,0
Bradi2g22581,0
Bradi2g22590,0
Bradi1g14900,0
Bradi2g22870,0
Bradi3g47080,0
Bradi2g22875,0
Bradi2g22893,0
Bradi1g14670,0
Bradi1g53747,0
Bradi4g42720,0
Bradi1g27095,0
Bradi3g45990,0
Bradi3g45230,0
Bradi1g53560,0
Bradi3g43810,0
Bradi1g14745,0
Bradi2g14665,0
Bradi5g16757,0
Bradi2g21420,0
Bradi1g57050,0
Bradi2g15237,0
Bradi5g15612,0
Bradi2g15243,0
Bradi3g50540,0
Bradi2g16402,0
Bradi3g49915,0
Bradi4g27008,0
Bradi2g17390,0
Bradi2g21439,0
Bradi4g43970,0
Bradi4g27801,0
Bradi3g49110,0
Bradi1g16151,0
Bradi1g55420,0
Bradi5g16253,0
Bradi2g19350,0
Bradi2g19930,0
Bradi1g15627,0
Bradi1g54210,0
Bradi3g49350,0
Bradi1g14170,0
Bradi2g04670,0
Bradi2g03624,0
Bradi5g07750,0
Bradi1g70330,0
Bradi4g08824,0
Bradi5g07860,0
Bradi4g08822,0
Bradi1g24845,0
Bradi1g24835,0
Bradi5g01440,0
Bradi1g62063,0
Bradi4g09430,0
Bradi4g08054,0
Bradi1g61764,0
Bradi1g28326,0
Bradi4g07563,0
Bradi1g23871,0
Bradi5g01150,0
Bradi4g21800,0
Bradi1g23510,0
Bradi4g06166,0
Bradi1g72940,0
Bradi5g08520,0
Bradi1g73100,0
Bradi1g69463,0
Bradi1g69393,0
Bradi4g17790,0
Bradi1g64195,0
Bradi1g26800,0
Bradi4g16885,0
Bradi1g64444,0
Bradi1g64978,0
Bradi5g02110,0
Bradi4g14975,0
Bradi4g14260,0
Bradi1g25330,0
Bradi1g65952,0
Bradi5g02077,0
Bradi1g28031,0
Bradi1g66860,0
Bradi1g67365,0
Bradi4g20710,0
Bradi4g11920,0
Bradi4g11550,0
Bradi4g10590,0
Bradi4g10335,0
Bradi5g03651,0
Bradi1g60490,0
Bradi4g05670,0
Bradi5g01135,0
Bradi3g60870,0
Bradi3g60770,0
Bradi3g60592,0
Bradi3g60490,0
Bradi4g44650,0
Bradi5g10737,0
Bradi2g02030,0
Bradi1g21097,0
Bradi1g21095,0
Bradi4g23640,0
Bradi3g60470,0
Bradi3g60050,0
Bradi3g60027,0
Bradi1g29611,0
Bradi2g02890,0
Bradi1g20780,0
Bradi3g59502,0
Bradi5g11240,0
Bradi4g24140,0
Bradi3g59370,0
Bradi2g02240,0
Bradi4g04720,0
Bradi1g60921,0
Bradi1g21890,0
Bradi4g04656,0
Bradi5g00720,0
Bradi1g29066,0
Bradi4g02842,0
Bradi1g22920,0
Bradi1g77020,0
Bradi4g02380,0
Bradi1g77430,0
Bradi5g00460,0
Bradi2g00670,0
Bradi5g09800,0
Bradi5g09817,0
Bradi4g01240,0
Bradi1g78246,0
Bradi1g78772,0
Bradi5g10300,0
Bradi4g23280,0
Bradi4g23290,0
Bradi4g00630,0
Bradi1g21900,0
